policy_id,policy_number,claimant_id,start_date,end_date,premium,coverage_type
POL_CLM_LEG_0_0,PN8645709306,CLM_LEG_0,2025-05-27T18:12:54.312644,2026-05-27T18:12:54.312644,1852.95,Liability Only
POL_CLM_LEG_1_0,PN7779951953,CLM_LEG_1,2023-12-06T18:12:54.312644,2024-12-05T18:12:54.312644,1688.73,Liability Only
POL_CLM_LEG_2_0,PN7943648855,CLM_LEG_2,2023-07-04T18:12:54.312644,2024-07-03T18:12:54.312644,1334.11,Liability Only
POL_CLM_LEG_3_0,PN4788809026,CLM_LEG_3,2023-08-19T18:12:54.312644,2024-08-18T18:12:54.312644,1897.35,Liability Only
POL_CLM_LEG_4_0,PN3718954345,CLM_LEG_4,2023-05-29T18:12:54.312644,2024-05-28T18:12:54.312644,2390.75,Full Coverage
POL_CLM_LEG_5_0,PN142412001,CLM_LEG_5,2023-12-08T18:12:54.312644,2024-12-07T18:12:54.312644,2493.36,Full Coverage
POL_CLM_LEG_6_0,PN322104832,CLM_LEG_6,2024-02-04T18:12:54.313640,2025-02-03T18:12:54.313640,1250.84,Liability Only
POL_CLM_LEG_7_0,PN9551766023,CLM_LEG_7,2023-01-18T18:12:54.313640,2024-01-18T18:12:54.313640,1215.28,Liability Only
POL_CLM_LEG_8_0,PN4751360166,CLM_LEG_8,2023-03-06T18:12:54.313640,2024-03-05T18:12:54.313640,1723.47,Liability Only
POL_CLM_LEG_9_0,PN9912562245,CLM_LEG_9,2023-04-02T18:12:54.313640,2024-04-01T18:12:54.313640,1911.76,Full Coverage
POL_CLM_LEG_10_0,PN4153308001,CLM_LEG_10,2023-12-17T18:12:54.313640,2024-12-16T18:12:54.313640,1308.94,Comprehensive
POL_CLM_LEG_11_0,PN5617034180,CLM_LEG_11,2023-01-19T18:12:54.313640,2024-01-19T18:12:54.313640,1028.29,Full Coverage
POL_CLM_LEG_12_0,PN9377754757,CLM_LEG_12,2023-06-07T18:12:54.313640,2024-06-06T18:12:54.313640,1740.48,Liability Only
POL_CLM_LEG_13_0,PN5148848253,CLM_LEG_13,2024-12-03T18:12:54.313640,2025-12-03T18:12:54.313640,2019.94,Full Coverage
POL_CLM_LEG_14_0,PN8468902807,CLM_LEG_14,2023-02-14T18:12:54.313640,2024-02-14T18:12:54.313640,1248.77,Liability Only
POL_CLM_LEG_15_0,PN4615310712,CLM_LEG_15,2023-02-21T18:12:54.313640,2024-02-21T18:12:54.313640,886.36,Comprehensive
POL_CLM_LEG_16_0,PN2592909888,CLM_LEG_16,2024-09-26T18:12:54.313640,2025-09-26T18:12:54.313640,874.95,Liability Only
POL_CLM_LEG_17_0,PN373794889,CLM_LEG_17,2023-09-23T18:12:54.313640,2024-09-22T18:12:54.313640,2465.66,Full Coverage
POL_CLM_LEG_18_0,PN1691272364,CLM_LEG_18,2023-12-20T18:12:54.313640,2024-12-19T18:12:54.313640,1999.63,Comprehensive
POL_CLM_LEG_19_0,PN7831074656,CLM_LEG_19,2025-04-20T18:12:54.313640,2026-04-20T18:12:54.313640,2406.59,Comprehensive
POL_CLM_LEG_20_0,PN7840542452,CLM_LEG_20,2023-12-26T18:12:54.313640,2024-12-25T18:12:54.313640,861.25,Liability Only
