shop_id,name,address,phone,license_number,is_fraud_involved
SHOP_0,"Meyers, Ruiz and Robinson Auto Body","308 William Lodge Apt. 293
Thorntonburgh, MS 99081",(338)520-7154x8185,SL29965846,True
SHOP_1,Jones Group Auto Body,"7767 Jones Dale
Port Arthur, IN 08244",(487)557-4058,SL91211086,True
SHOP_2,Clark Inc Auto Body,"719 Joseph Ranch Suite 265
Karenmouth, CA 25318",(449)767-4514x5375,SL59512466,True
SHOP_3,"Turner, Roman and Gregory Auto Body","USNS Bird
FPO AA 18785",001-969-590-1851x1156,SL31168504,True
SHOP_4,"Hancock, Jones and Stevens Auto Body","0506 Tara Plains Apt. 831
West Ryan, UT 08435",(875)586-0345,SL92362011,True
SHOP_5,Allen's Auto Repair,"49524 Hayes Junction
West Michellemouth, VA 62171",326.838.8032x42716,SL21569430,False
SHOP_6,Espinoza's Auto Repair,"747 Cummings Falls Apt. 703
Deniseview, NJ 73936",001-372-468-1931x92294,SL94180283,False
SHOP_7,Walker's Auto Repair,"2539 Dillon Court
Joshuastad, KY 08945",+1-292-258-8314,SL31171048,False
SHOP_8,Reed's Auto Repair,"82673 Contreras Ways
West Tonyashire, GU 99461",+1-465-371-6896,SL26132051,False
SHOP_9,Hernandez's Auto Repair,"86286 Cruz Road Apt. 476
Lake Erinside, HI 28144",6928587289,SL62656959,False
SHOP_10,Fitzpatrick's Auto Repair,"16330 Hughes Cove Suite 262
East Shirleyfurt, ME 80279",5846749116,SL87509675,False
SHOP_11,Zimmerman's Auto Repair,"10166 Kayla Meadows
Port Tasha, NC 36430",(454)714-0857x962,SL10194178,False
SHOP_12,Gallagher's Auto Repair,"486 Benjamin Street
Burgesston, HI 51549",7465901749,SL68600339,False
SHOP_13,Calderon's Auto Repair,"44106 Sims Plains Suite 573
North Russell, AR 23792",+1-242-938-9354x40711,SL23023226,False
SHOP_14,Jensen's Auto Repair,"05066 Davis Plains
Jesusbury, TN 26610",001-417-614-7955x41298,SL77710695,False
SHOP_15,Thompson's Auto Repair,"815 Brandon Radial
Dillonmouth, VI 51943",+1-201-726-9625,SL7656567,False
SHOP_16,Woods's Auto Repair,"9139 Allen Gateway
West Brandon, WV 22571",949.862.3838x4403,SL47617777,False
SHOP_17,Scott's Auto Repair,"85803 Tricia Pike Suite 414
Riosberg, OR 85547",3857050487,SL78457155,False
SHOP_18,Johnson's Auto Repair,"77210 Timothy Heights
Thomasbury, OK 14554",001-617-817-4003x456,SL44231976,False
SHOP_19,Craig's Auto Repair,"4496 Bennett Avenue
Taylorfurt, MS 96132",2475412081,SL58566767,False
SHOP_20,Black's Auto Repair,"2894 Kevin Prairie
Port Michael, MO 02888",(869)657-7526,SL75016912,False
SHOP_21,Mcconnell's Auto Repair,"3678 Steve Drive
Maryside, CA 33071",737-564-2983x93039,SL80452198,False
SHOP_22,Richardson's Auto Repair,"88532 Hobbs Highway Apt. 114
Houstonport, NH 43629",973-377-0499x096,SL80954046,False
SHOP_23,Collins's Auto Repair,"9773 Davis Bypass Apt. 405
Harrisfurt, ND 96091",001-810-680-4175,SL28800037,False
SHOP_24,Johnson's Auto Repair,"88771 Benton Ports
South Lukemouth, HI 30857",(434)811-0485x78671,SL43982048,False
SHOP_25,Lamb's Auto Repair,"291 Melissa Trace
Rhondaburgh, KS 76188",+1-991-596-0841x58553,SL8282800,False
SHOP_26,Mccarthy's Auto Repair,"3185 Cunningham Park Apt. 716
Jonathanville, KY 98770",200-804-0756x0231,SL41922716,False
SHOP_27,Novak's Auto Repair,"96822 Curry Inlet Apt. 734
Wandafort, OK 97605",+1-725-919-7366x547,SL75201148,False
SHOP_28,Park's Auto Repair,"USNS Blevins
FPO AA 09273",9539925906,SL16156081,False
SHOP_29,Grant's Auto Repair,"17430 Brown Estate Suite 600
Davidville, MT 89902",(377)952-7071x2797,SL57710197,False
SHOP_30,Lewis's Auto Repair,"USS Jenkins
FPO AA 23890",001-872-999-0438x817,SL53370240,False
