vehicle_id,vin,policy_id,make,model,year,color,license_plate
VEH_POL_CLM_LEG_0_0,22ERRRSAU1861UAA1,POL_CLM_LEG_0_0,Nissan,Rogue,2017,CadetBlue,BU5477
VEH_POL_CLM_LEG_1_0,ENWF4KK1WM69M6MG8,POL_CLM_LEG_1_0,Honda,CR-V,2014,LightGoldenRodYellow,Rb438
VEH_POL_CLM_LEG_2_0,H9GATE03NY2XWBD4B,POL_CLM_LEG_2_0,Chevrolet,Silverado,2013,LavenderBlush,Ig8346
VEH_POL_CLM_LEG_3_0,NVSFZXKYYJWE4D0DD,POL_CLM_LEG_3_0,Toyota,Highlander,2017,Azure,pT6840
VEH_POL_CLM_LEG_4_0,X249MPFV7ZSHACDVT,POL_CLM_LEG_4_0,Toyota,Highlander,2013,Lime,Jx1518
VEH_POL_CLM_LEG_5_0,06YS9JB355MZRD56A,POL_CLM_LEG_5_0,Toyota,Camry,2021,Blue,ci1109
VEH_POL_CLM_LEG_6_0,MRX5D3GP8JN53Y3DZ,POL_CLM_LEG_6_0,Honda,Civic,2015,SteelBlue,jt1241
VEH_POL_CLM_LEG_7_0,PW3ZFNMAZ49E7DPBJ,POL_CLM_LEG_7_0,Toyota,Corolla,2011,LightCoral,bI1429
VEH_POL_CLM_LEG_8_0,5U10H85UZXR0SYYE4,POL_CLM_LEG_8_0,Ford,F-150,2021,RosyBrown,ci8483
VEH_POL_CLM_LEG_9_0,YF555CTH9BHYPHS3R,POL_CLM_LEG_9_0,Nissan,Altima,2010,LightGray,Be6956
VEH_POL_CLM_LEG_10_0,DTYDPVACWXLTGZ8MB,POL_CLM_LEG_10_0,Chevrolet,Tahoe,2015,SeaShell,IC3138
VEH_POL_CLM_LEG_11_0,VXSY0D2HM48KU0BFE,POL_CLM_LEG_11_0,Honda,Pilot,2015,GhostWhite,We4612
VEH_POL_CLM_LEG_12_0,XG7NS20DP74W2RY8E,POL_CLM_LEG_12_0,Chevrolet,Silverado,2014,Silver,an2103
VEH_POL_CLM_LEG_13_0,1VRW727ZF3DYXL6PX,POL_CLM_LEG_13_0,Chevrolet,Silverado,2018,Beige,rm5101
VEH_POL_CLM_LEG_14_0,89REP01K0507XGXKM,POL_CLM_LEG_14_0,Honda,CR-V,2016,Snow,qn3357
VEH_POL_CLM_LEG_15_0,UY02VW80Z6U5PADNB,POL_CLM_LEG_15_0,Honda,Civic,2018,Linen,ti1711
VEH_POL_CLM_LEG_16_0,1FKJ4ZK1B3D5151VH,POL_CLM_LEG_16_0,Toyota,Corolla,2014,Brown,Ax1086
VEH_POL_CLM_LEG_17_0,NP3Z8B1G55RHX0NW1,POL_CLM_LEG_17_0,Ford,F-150,2024,Brown,Zb4820
VEH_POL_CLM_LEG_18_0,R9C81DBKJF4AS7B7W,POL_CLM_LEG_18_0,Honda,Civic,2014,Orchid,ae196
